SubjID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2
0,0,7,7,0,7,0,0,0
0,1,6,6,0,6,0,0,0
0,2,4,4,0,4,0,0,0
0,3,10,10,0,10,0,0,0
0,4,9,9,0,9,0,0,0
0,5,6,6,0,6,0,0,0
0,6,6,6,0,6,0,0,0
0,7,13,13,0,13,0,0,0
0,8,5,5,0,5,0,0,0
0,9,12,12,0,12,0,0,0
0,10,4,4,0,4,0,0,0
0,11,7,7,0,7,0,0,0
0,12,11,11,0,11,0,0,0
0,13,6,5,0,5,16.67,1,0
0,14,5,5,0,5,0,0,0
0,15,6,6,0,6,0,0,0
0,16,9,9,0,9,0,0,0
0,17,2,2,0,2,0,0,0
0,0,18,16,1,15,16.67,1,1
0,1,10,10,0,10,0,0,0
0,2,16,15,0,15,6.25,1,0
0,3,10,10,0,10,0,0,0
0,4,7,7,0,7,0,0,0
0,5,9,9,1,8,11.11,0,0
0,0,6,6,0,6,0,0,0
0,0,8,7,0,7,12.5,1,0
0,0,3,3,0,3,0,0,0
0,1,4,4,0,4,0,0,0
0,0,12,12,0,12,0,0,0
0,1,4,4,0,4,0,0,0
0,2,10,10,0,10,0,0,0
0,3,6,6,0,6,0,0,0
0,4,11,10,0,10,9.09,0,1
0,5,11,11,0,11,0,0,0
0,6,7,7,0,7,0,0,0
0,7,4,4,0,4,0,0,0
0,0,7,7,0,7,0,0,0
0,1,13,13,0,13,0,0,0
0,0,14,14,0,14,0,0,0
0,0,9,9,0,9,0,0,0
0,1,14,14,1,13,7.14,0,0
0,2,26,24,1,23,11.54,2,0
0,3,26,26,2,24,7.69,0,0
0,4,6,5,0,5,16.67,1,0
0,5,7,7,0,7,0,0,0
0,6,2,2,0,2,0,0,0
0,0,56,51,2,49,12.5,1,1
0,0,18,18,0,18,0,0,0
0,0,14,14,0,14,0,0,0
0,1,5,5,0,5,0,0,0
