EmailID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1
10465,0,10,10,0,10,0.00,0
10465,1,19,19,0,19,0.00,0
10465,2,12,12,0,12,0.00,0
10465,3,17,17,0,17,0.00,0
10465,4,21,19,0,19,9.52,2
10465,5,4,3,0,3,25.00,1
