EmailID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1
10471,0,9,9,0,9,0.00,0
10471,1,14,14,1,13,7.14,0
10471,2,26,24,2,22,15.38,2
10471,3,26,26,2,24,7.69,0
10471,4,6,5,0,5,16.67,1
10471,5,7,7,0,7,0.00,0
10471,6,2,2,0,2,0.00,0
