EmailID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2
13987,0,29,28,2,26,10.34,1,0
13987,1,41,39,5,34,17.07,0,2
13987,2,11,11,0,11,0.00,0,0
13987,3,10,10,0,10,0.00,0,0
13987,4,12,11,0,11,8.33,1,0
13987,5,24,22,0,22,8.33,2,0
13987,6,15,13,0,13,13.33,2,0
13987,7,48,47,4,43,10.42,1,0
13987,8,10,10,0,10,0.00,0,0
13987,9,16,16,1,15,6.25,0,0
13987,10,51,47,8,39,23.53,4,0
13987,11,48,46,7,39,18.75,0,2
13987,12,19,18,1,17,10.53,1,0
13987,13,3,3,0,3,0.00,0,0
13987,14,11,9,0,9,18.18,0,2
13987,15,9,7,0,7,22.22,1,1
13987,16,13,11,1,10,23.08,1,1
13987,17,9,9,0,9,0.00,0,0
13987,18,25,24,1,23,8.00,0,0
13987,19,92,91,40,51,44.57,1,0
13987,20,13,13,0,13,0.00,0,0
13987,21,19,17,1,16,15.79,1,1
13987,22,9,8,0,8,11.11,1,0
13987,23,28,25,2,23,17.86,3,0
13987,24,18,16,0,16,11.11,1,1
13987,25,7,7,0,7,0.00,0,0
13987,26,21,19,3,16,23.81,1,1
13987,27,3,3,0,3,0.00,0,0
13987,28,57,55,22,33,42.11,2,0
13987,29,20,19,1,18,10.00,1,0
13987,30,35,33,22,11,68.57,1,1
13987,31,8,8,0,8,0.00,0,0
13987,32,20,19,0,19,5.00,1,0
13987,33,29,29,5,24,17.24,0,0
13987,34,18,18,0,18,0.00,0,0
13987,35,20,20,1,19,5.00,0,0
13987,36,73,68,12,56,23.29,4,1
13987,37,10,9,0,9,10.00,1,0
13987,38,32,22,3,19,40.62,7,3
13987,39,14,8,0,8,42.86,1,5
13987,40,3,3,0,3,0.00,0,0
13987,41,4,4,0,4,0.00,0,0
13987,42,22,21,4,17,22.73,1,0
13987,43,3,3,0,3,0.00,0,0
13987,44,18,18,2,16,11.11,0,0
13987,45,14,13,0,13,7.14,1,0
13987,46,12,11,0,11,8.33,0,1
13987,47,22,22,3,19,13.64,0,0
13987,48,13,12,0,12,7.69,0,1
13987,49,7,7,0,7,0.00,0,0
13987,50,24,22,1,21,12.50,2,0
13987,51,8,8,0,8,0.00,0,0
13987,52,12,11,0,11,8.33,1,0
13987,53,2,2,0,2,0.00,0,0
13987,54,11,8,0,8,27.27,2,1
13987,55,13,9,0,9,30.77,3,1
13987,56,9,8,0,8,11.11,1,0
13987,57,9,7,0,7,22.22,2,0
13987,58,41,40,4,36,12.20,1,0
13987,59,20,19,3,16,20.00,1,0
13987,60,36,30,4,26,27.78,5,1
13987,61,23,20,3,17,26.09,3,0
13987,62,65,59,13,46,29.23,5,1
13987,63,33,31,9,22,33.33,1,1
13987,64,52,48,4,44,15.38,4,0
13987,65,21,19,0,19,9.52,1,1
13987,66,33,31,0,31,6.06,1,1
13987,67,13,12,0,12,7.69,0,0
13987,68,29,28,0,28,3.45,1,0
13987,69,14,13,0,13,7.14,1,0
13987,70,26,26,2,24,7.69,0,0
13987,71,19,19,2,17,10.53,0,0
13987,72,8,8,0,8,0.00,0,0
13987,73,12,12,0,12,0.00,0,0
13987,74,17,17,3,14,17.65,0,0
13987,75,32,30,0,30,6.25,1,1
13987,76,6,6,0,6,0.00,0,0
13987,77,13,13,0,13,0.00,0,0
13987,78,24,23,0,23,4.17,0,1
13987,79,12,11,0,11,8.33,1,0
13987,80,34,28,2,26,23.53,6,0
13987,81,22,20,3,17,22.73,2,0
13987,82,11,11,0,11,0.00,0,0
13987,83,9,9,0,9,0.00,0,0
13987,84,7,7,0,7,0.00,0,0
13987,85,6,6,0,6,0.00,0,0
13987,86,6,5,0,5,16.67,1,0
13987,87,6,5,0,5,16.67,1,0
13987,88,7,6,0,6,14.29,1,0
13987,89,24,23,0,23,4.17,1,0
13987,90,10,10,0,10,0.00,0,0
13987,91,13,12,0,12,7.69,1,0
13987,92,14,14,0,14,0.00,0,0
13987,93,11,11,0,11,0.00,0,0
13987,94,17,16,0,16,5.88,1,0
13987,95,20,17,0,17,15.00,3,0
13987,96,114,113,223,-110,196.49,1,0
13987,97,349,349,1607,-1258,460.46,0,0
13987,98,13,12,0,12,7.69,1,0
13987,99,10,10,0,10,0.00,0,0
13987,100,16,16,0,16,0.00,0,0
13987,101,19,17,0,17,10.53,2,0
13987,102,65,62,59,3,95.38,3,0
